	價格	冰箱	冷氣	區	地址	坪數	型態	天然瓦斯	床	座標	性別要求	押金	捷運站	最短租期	朝向	格局	桌子	椅子	樓層	沙發	洗衣機	火車站	熱水器	產權登記	種類	第四台	管理費	網路	編號	總樓層數	衣櫃	身份要求	車 位	開伙	電視	養寵物	現況
0	30000.0	1	1	信義區	台北市信義區光復南路567號	13.0	電梯大樓	1	1	0	男女生皆可	面議	1	1月	0	0	1	1	18	1	1	0	1	已辦 	0	1	1560元/月	1	4365927	0	1	學生、上班族、家庭	平面式停車位，費用另計	可以	1	不可以	獨立套房
1	42000.0	1	1	信義區	台北市信義區松勤路	15.71	電梯大樓	0	1	0	男女生皆可	二個月	1	三個月	0	開放式格局	1	1	5	1	1	1	1	已辦 	0	1	--	1	6238712	0	1	0	機械式停車位，費用另計	可以	1	不可以	獨立套房
2	14000.0	1	1	萬華區	台北市萬華區康定路281號	7.0	公寓	0	1	0	男女生皆可	二個月	1	半年	坐北朝南	有陽臺	1	1	2	1	1	1	1	已辦 	0	1	無	1	6324238	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
3	18000.0	1	1	萬華區	台北市萬華區和平西路三段33號	10.0	透天厝	0	1	0	男女生皆可	二個月	1	半年	坐南朝北	有陽臺	1	1	2	1	1	1	1	已辦 	0	1	無	1	6343423	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
4	25000.0	1	1	大安區	台北市大安區信義路二段	7.18	電梯大樓	0	1	0	男女生皆可	二個月	1	一年	坐北朝南	0	0	0	2	1	1	0	1	已辦 	0	0	1890元/月	0	6348007	0	1	學生、上班族、家庭	機械式停車位，費用另計	不可以	1	不可以	獨立套房
5	16000.0	1	1	信義區	台北市信義區虎林街100巷	7.0	透天厝	0	1	0	男女生皆可	二個月	1	一年	坐南朝北	0	1	1	3	0	1	0	1	已辦 	0	1	--	1	6367706	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
6	10000.0	1	1	信義區	台北市信義區吳興街284巷30弄57號	10.0	公寓	0	1	0	男女生皆可	二個月	1	一年	坐北朝南	0	1	1	1	0	1	1	1	已辦 	0	1	無	1	6390715	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
7	16500.0	0	1	大同區	台北市大同區涼州街6號	15.0	電梯大樓	0	0	0	男女生皆可	面議	1	1月	0	有陽臺	1	1	9	0	1	1	1	已辦 	0	0	1500元/月	0	6344572	0	1	學生、上班族、家庭	無	可以	0	不可以	獨立套房
8	14000.0	1	1	中山區	台北市中山區農安街	16.0	電梯大樓	0	1	0	女生	二個月	1	一年	0	有陽臺	1	1	5	0	1	0	1	已辦 	0	1	--	1	6375168	0	1	0	無	不可以	1	不可以	獨立套房
9	8800.0	1	1	萬華區	台北市萬華區德昌街185巷	12.0	公寓	1	1	0	男女生皆可	二個月	0	一年	坐北朝南	有陽臺	1	1	4	0	1	0	1	已辦 	0	1	--	1	6334092	0	1	學生、上班族	無	不可以	1	不可以	獨立套房
10	12500.0	0	1	大同區	台北市大同區涼州街	10.0	電梯大樓	0	0	0	男女生皆可	面議	0	1月	0	有陽臺	1	1	9	0	0	0	1	已辦 	0	0	1000元/月	0	6344565	0	0	學生、上班族、家庭	無	可以	0	不可以	獨立套房
11	16000.0	1	1	內湖區	台北市內湖區內湖路一段	7.0	公寓	0	1	0	男女生皆可	二個月	0	一年	0	0	1	1	5	0	1	0	1	-- 	0	1	--	1	6354677	0	1	0	無	可以	1	不可以	獨立套房
12	18000.0	1	1	中山區	台北市中山區林森北路	11.0	電梯大樓	0	1	0	男女生皆可	面議	0	一年	0	0	1	1	3	1	1	0	1	未辦 	0	1	750元/月	1	6339233	0	1	學生、上班族、家庭	無	可以	1	可以	獨立套房
13	15800.0	1	1	松山區	台北市松山區南京東路五段	8.0	公寓	0	1	0	男女生皆可	二個月	1	一年	坐北朝南	0	1	1	4	0	1	0	1	已辦 	0	1	--	1	6358931	0	1	上班族	無	不可以	1	不可以	獨立套房
14	28000.0	1	1	信義區	台北市信義區和平東路三段	12.0	電梯大樓	0	1	0	男女生皆可	二個月	1	1月	坐西南朝東北	0	1	1	5	1	1	0	1	已辦 	0	1	--	1	6360016	0	1	學生、上班族、家庭	無	可以	1	不可以	獨立套房
15	29000.0	1	1	北投區	台北市北投區光明路	12.0	公寓	0	1	0	男女生皆可	二個月	0	一年	0	0	1	1	2	1	1	0	1	已辦 	0	1	--	1	6366598	0	1	0	無	可以	1	不可以	獨立套房
16	20000.0	1	1	北投區	台北市北投區光明路	12.0	公寓	0	1	0	男女生皆可	二個月	0	一年	0	0	1	1	3	0	1	0	1	已辦 	0	1	--	1	6366633	0	1	0	無	可以	1	不可以	獨立套房
