"";"冰箱";"冷氣";"區";"地址";"坪數";"型態";"天然瓦斯";"床";"性別要求";"押金";"捷運站";"最短租期";"格局";"桌子";"椅子";"樓層";"沙發";"洗衣機";"火車站";"熱水器";"第四台";"網路";"編號";"總樓層數";"衣櫃";"身份要求";"車 位";"開伙";"隔間材料";"電視";"養寵物";"現況";"新價格"
"1";1;1;"中正區";"台北市中正區羅斯福路三段316巷20號";4;"電梯大樓";0;1;"女生";"二個月";1;"一年";"0";1;1;"4";0;0;0;1;1;1;0;7;1;"學生、上班族";"無";"不可以";"0";1;"不可以";"分租套房";9000
"2";1;0;"松山區";"台北市松山區撫遠街394巷75號";5,5;"公寓";1;1;"女生";"一個月";0;"一年";"有陽臺";0;0;"3";1;1;0;1;0;1;1018338;4;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7800
"3";1;1;"信義區";"台北市信義區中坡北路43巷";15;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"開放式格局";0;0;"4";1;1;1;1;1;0;1352696;5;1;"學生、上班族、家庭";"無";"可以";"0";0;"不可以";"獨立套房";15000
"4";1;1;"新店區";"新北市新店區二十張路129巷";5;"公寓";1;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;0;1;0;1;1449895;5;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5300
"5";1;1;"內湖區";"台北市內湖區內湖路一段";7;"電梯大樓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"6";0;1;0;1;1;1;1671023;12;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";8800
"6";1;1;"南港區";"台北市南港區重陽路";7;"電梯大樓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"4";0;1;0;1;1;1;1752326;5;1;"上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";8500
"7";1;1;"板橋區";"新北市板橋區南雅西路二段";7;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;0;1;1;1;1772061;5;0;"學生、上班族";"無";"不可以";"0";1;"不可以";"獨立套房";8000
"8";1;1;"三重區";"新北市三重區仁愛街82巷";8;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"頂樓加蓋";0;0;0;0;1;1;1832616;5;1;"學生、上班族";"無";"不可以";"0";1;"不可以";"獨立套房";6000
"9";0;1;"深坑區";"新北市深坑區北深路二段2巷";22;"電梯大樓";0;1;"男女生皆可";"二個月";0;"一年";"有陽臺";1;0;"7";0;0;0;1;0;0;1867853;13;1;"上班族、家庭";"無";"可以";"0";0;"不可以";"獨立套房";12000
"10";1;1;"中和區";"新北市中和區捷運路8號";18;"電梯大樓";0;1;"男女生皆可";"面議";1;"三個月";"有陽臺";1;1;"4";1;0;0;1;0;0;1872936;19;0;"上班族、家庭";"無";"不可以";"0";1;"不可以";"獨立套房";23260
"11";1;1;"土城區";"新北市土城區延吉街300號";5;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"5";0;1;0;0;0;1;2041248;5;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";6500
"12";1;1;"永和區";"新北市永和區竹林路6000號";7;"公寓";0;1;"男女生皆可";"面議";1;"一年";"0";1;1;"4";0;1;0;1;1;1;2064720;5;1;"學生、上班族、家庭";"無";"可以";"0";1;"不可以";"獨立套房";12000
"13";1;1;"鶯歌區";"新北市鶯歌區中山路132號";12;"透天厝";0;1;"男女生皆可";"二個月";0;"半年";"0";0;0;"3";0;0;0;1;0;0;2265224;5;1;"學生、上班族、家庭";"無";"不可以";"0";1;"不可以";"獨立套房";5500
"14";1;1;"土城區";"新北市土城區中央路一段267巷13號";8;"公寓";1;1;"男生";"二個月";1;"一年";"有陽臺";1;1;"3";1;1;0;1;1;1;2281705;6;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"分租套房";9000
"15";1;1;"中正區";"台北市中正區金門街";9;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"2";0;1;0;1;1;1;2349811;4;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";12000
"16";0;1;"板橋區";"新北市板橋區翠華街8巷";5;"公寓";0;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"3";0;1;1;1;1;1;2351948;5;1;"上班族";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";8500
"17";1;1;"板橋區";"新北市板橋區漢生東路333號";25;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"6";1;1;0;1;1;1;2356142;6;1;"學生、上班族";"無";"不可以";"0";1;"不可以";"獨立套房";10000
"18";1;1;"新店區";"新北市新店區中興路二段201號";10,14;"電梯大樓";0;1;"男女生皆可";"二個月";1;"一年";"開放式格局";0;0;"17";1;1;0;1;0;0;2508764;17;1;"學生、上班族、家庭";"機械式停車位，費用另計";"可以";"0";0;"可以";"獨立套房";18000
"19";0;1;"中和區";"新北市中和區景平路";10;"電梯大樓";0;0;"女生";"二個月";1;"一年";"開放式格局";0;0;"16";0;1;0;1;0;0;2537365;19;0;"學生、上班族";"無";"可以";"0";0;"不可以";"獨立套房";17000
"20";1;1;"內湖區";"台北市內湖區南京東路六段350號";16;"電梯大樓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;0;"8";1;1;0;1;1;1;2558317;12;1;"學生、上班族、家庭";"無";"可以";"0";1;"可以";"獨立套房";20000
"21";1;1;"烏來區";"新北市烏來區烏來街";10;"公寓";0;1;"男女生皆可";"面議";0;"一年";"有陽臺";1;1;"4";0;0;0;0;0;0;2584072;4;1;"學生、上班族";"無";"可以";"0";1;"可以";"獨立套房";7000
"22";1;1;"大安區";"台北市大安區復興南路一段295巷";10;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"2";1;1;0;1;1;1;2658452;4;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";11000
"23";1;1;"板橋區";"新北市板橋區四維路177巷";8;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"1";0;1;1;1;1;1;2673583;5;1;"學生、上班族、家庭";"平面式停車位，費用另計";"可以";"0";1;"不可以";"獨立套房";11500
"24";1;1;"三重區";"新北市三重區六張街194巷1弄38號";5;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"0";0;0;"5";0;1;0;1;1;1;2720395;5;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";6800
"25";1;1;"文山區";"台北市文山區羅斯福路五段245號";14;"電梯大樓";1;1;"男女生皆可";"面議";1;"一年";"有陽臺";1;1;"14";1;1;0;1;1;1;2739281;17;1;"學生、上班族、家庭";"無";"可以";"0";1;"可以";"獨立套房";21000
"26";0;0;"板橋區";"新北市板橋區中山路1號";12;"電梯大樓";1;0;"男女生皆可";"二個月";1;"一年";"有陽臺";0;0;"18";0;0;1;1;0;0;2799962;22;0;"學生、上班族、家庭";"無";"可以";"0";0;"不可以";"獨立套房";12639
"27";1;1;"士林區";"台北市士林區社子街63巷";4;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"3";1;1;0;1;0;1;2840404;5;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"雅房";6500
"28";1;1;"文山區";"台北市文山區興隆路一段";4;"公寓";0;1;"男生";"一個月";1;"一年";"0";1;1;"頂樓加蓋";0;1;0;1;1;1;2865628;4;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";4500
"29";1;1;"南港區";"台北市南港區民權街二段106號";8;"電梯大樓";1;1;"男女生皆可";"10000";1;"一年";"0";1;1;"4";0;1;0;1;1;1;2878089;7;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";9000
"30";1;1;"內湖區";"台北市內湖區內湖路一段91巷";7;"公寓";1;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"5";1;1;0;1;1;1;2889556;5;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7500
"31";1;1;"泰山區";"新北市泰山區明志路一段483巷31弄1號";7;"公寓";0;1;"男女生皆可";"一個月";0;"一年";"0";1;1;"3";0;1;0;1;1;1;2892795;4;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";5500
"32";0;0;"林口區";"新北市林口區中正路154號";5;"公寓";1;1;"男女生皆可";"一個月";1;"2月";"0";1;1;"5";0;1;1;0;0;1;2978443;5;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5000
"33";1;1;"板橋區";"新北市板橋區國光路31巷7號";7;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";0;0;"6";0;1;1;1;1;1;3031642;8;1;"學生、上班族、家庭";"無";"不可以";"0";1;"不可以";"獨立套房";7800
"34";1;1;"中和區";"新北市中和區景新街55號";6;"公寓";0;1;"男女生皆可";"一個月";1;"半年";"0";1;1;"3";0;1;0;1;1;1;3034473;4;1;"0";"無";"不可以";"0";1;"不可以";"獨立套房";7800
"35";0;1;"大安區";"台北市大安區新生南路一段12巷";8;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"6";0;1;0;1;0;1;3067847;6;1;"學生、上班族";"無";"不可以";"0";1;"不可以";"獨立套房";14000
"36";1;1;"永和區";"新北市永和區大新街37巷3號";7;"公寓";1;1;"男女生皆可";"面議";1;"半年";"0";1;1;"2";0;1;0;1;1;1;3106541;5;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"分租套房";8800
"37";1;1;"信義區";"台北市信義區吳興街";7;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"B1";0;1;0;1;1;1;3112589;5;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"分租套房";12000
"38";1;1;"淡水區";"新北市淡水區自強路124巷";8;"透天厝";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"5";0;1;0;1;0;0;3133438;6;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5500
