@relation duLiTao_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
773,1,1,信義區,台北市信義區吳興街269巷,4,公寓,1,1,女生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6318852,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,6800,1700
2786,1,1,新莊區,新北市新莊區瓊泰路133號,4,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6369580,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,5500,1375
3000,1,1,新莊區,新北市新莊區新莊路649巷26弄20號,4,公寓,0,1,男女生皆可,二個月,1,365,0,0,1,1,1,頂樓加蓋,0,1,1,1,1,0,6373712,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,4500,1125
4472,1,1,新莊區,新北市新莊區新莊路649巷,4,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6398763,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,4500,1125
5375,1,1,新莊區,新北市新莊區新莊路649巷,4,公寓,0,1,男女生皆可,二個月,1,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,0,6411125,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,4500,1125
6196,1,1,蘆洲區,新北市蘆洲區長安街,4,電梯大樓,0,1,男女生皆可,二個月,0,365,0,0,0,1,0,頂樓加蓋,0,1,0,1,1,0,6423731,1,0,無,不可以,水泥磚牆,1,不可以,獨立套房,6600,1650
450,1,1,新莊區,新北市新莊區八德街135號,5,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6308754,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
692,0,1,大安區,台北市大安區和平東路三段632巷70號,5,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,0,0,1,1,1,6316630,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,獨立套房,7500,1500
1066,1,1,中和區,新北市中和區圓通路367巷13弄1號,5,公寓,0,1,男女生皆可,二個月,0,180,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6327521,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,獨立套房,6500,1300
1126,0,1,中和區,新北市中和區連城路403巷,5,公寓,1,1,男女生皆可,二個月,0,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6330092,1,學生、上班族,無,不可以,水泥磚牆,0,可以,獨立套房,5000,1000
1388,1,1,板橋區,新北市板橋區光武街50巷,5,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6337375,1,上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,6000,1200
2232,1,1,士林區,台北市士林區士東路54巷,5,公寓,0,1,男女生皆可,面議,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,0,1,0,6357604,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,8000,1600
2500,1,1,南港區,台北市南港區研究院路三段86巷,5,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6363540,1,上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7500,1500
2673,1,1,板橋區,新北市板橋區民治街119巷,5,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6367261,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,6900,1380
3124,1,1,三重區,新北市三重區仁忠街67號,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,0,頂樓加蓋,0,0,0,0,1,1,6376490,1,0,無,不可以,水泥磚牆,1,不可以,獨立套房,7500,1500
3188,1,1,永和區,新北市永和區復興街,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6377966,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
3863,0,1,文山區,台北市文山區興隆路四段181號,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6389685,0,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,6200,1240
3910,1,1,新莊區,新北市新莊區富國路77巷,5,公寓,0,1,男女生皆可,二個月,1,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6390311,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7800,1560
4161,1,1,大安區,台北市大安區和平東路一段183巷,5,電梯大樓,0,1,女生,二個月,1,180,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6393981,1,學生、上班族,無,可以,水泥磚牆,0,不可以,獨立套房,10500,2100
4222,0,1,大安區,台北市大安區浦城街13巷,5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6395252,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,7500,1500
4835,1,1,永和區,新北市永和區大新街,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6403465,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
4890,1,1,新莊區,新北市新莊區幸福路678巷,5,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6404056,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,7000,1400
5076,1,1,信義區,台北市信義區松仁路202巷,5,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6406781,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,獨立套房,9000,1800
