@RELATION duLiTao_6_1_v3

@ATTRIBUTE 冰箱 REAL
@ATTRIBUTE 冷氣 REAL
@ATTRIBUTE 區 {三峽區,三芝區,三重區,中和區,中山區,中正區,五股區,信義區,內湖區,八里區,北投區,南港區,土城區,士林區,大同區,大安區,文山區,新店區,新莊區,松山區,板橋區,林口區,樹林區,永和區,汐止區,泰山區,淡水區,深坑區,烏來區,萬華區,萬里區,蘆洲區,金山區,鶯歌區}
@ATTRIBUTE 坪數 REAL
@ATTRIBUTE 型態 {住宅大樓,公寓,別墅,華廈,辦公商業大樓,透天厝,電梯大樓}
@ATTRIBUTE 天然瓦斯 REAL
@ATTRIBUTE 床 REAL
@ATTRIBUTE 性別要求 {女生,男女生皆可,男生}
@ATTRIBUTE 押金 {一個月,二個月,面議}
@ATTRIBUTE 捷運站 REAL
@ATTRIBUTE 最短租期 REAL
@ATTRIBUTE 有陽臺 REAL
@ATTRIBUTE 樓中樓 REAL
@ATTRIBUTE 開放式格局 REAL
@ATTRIBUTE 桌子 REAL
@ATTRIBUTE 椅子 REAL
@ATTRIBUTE 樓層 {>=6,地下,頂樓加蓋,1,2,3,4,5}
@ATTRIBUTE 沙發 REAL
@ATTRIBUTE 洗衣機 REAL
@ATTRIBUTE 火車站 REAL
@ATTRIBUTE 熱水器 REAL
@ATTRIBUTE 第四台 REAL
@ATTRIBUTE 網路 REAL
@ATTRIBUTE 衣櫃 REAL
@ATTRIBUTE 身份要求 {0,上班族,上班族、家庭,學生,學生、上班族,學生、上班族、家庭,家庭}
@ATTRIBUTE 車位 {平面式停車位，已含租金內,平面式停車位，費用另計,機械式停車位，已含租金內,機械式停車位，費用另計,無}
@ATTRIBUTE 開伙 {不可以,可以}
@ATTRIBUTE 隔間材料 {水泥磚牆}
@ATTRIBUTE 電視 REAL
@ATTRIBUTE 養寵物 {不可以,可以}
@ATTRIBUTE 現況 {獨立套房}
@ATTRIBUTE 總價格 REAL

@DATA
1,1,中和區,19.48,電梯大樓,0,0,男女生皆可,二個月,1,365,0,0,0,0,0,3,1,1,0,0,0,0,1,上班族、家庭,無,可以,水泥磚牆,0,不可以,獨立套房,21851
1,1,中正區,19.27,電梯大樓,1,1,男女生皆可,二個月,1,365,1,0,0,1,1,2,1,1,0,1,0,0,1,學生、上班族、家庭,機械式停車位，費用另計,可以,水泥磚牆,0,可以,獨立套房,26000
1,1,新莊區,19.06,電梯大樓,1,1,男女生皆可,二個月,1,365,1,0,0,1,0,5,1,1,1,1,1,1,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,23000
1,1,中山區,19,電梯大樓,0,1,男女生皆可,二個月,0,365,0,0,0,1,0,>=6,1,1,0,1,0,0,1,0,機械式停車位，已含租金內,可以,水泥磚牆,1,不可以,獨立套房,24000
1,1,中和區,19,公寓,0,1,男女生皆可,面議,0,365,0,0,1,1,1,>=6,1,1,0,1,1,1,1,0,無,可以,水泥磚牆,1,不可以,獨立套房,18000
1,1,北投區,19,電梯大樓,1,1,男女生皆可,二個月,1,90,1,0,0,0,0,4,1,0,0,1,1,1,1,學生、上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,22220
1,1,永和區,19,電梯大樓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,2,1,1,0,1,1,1,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,20000
1,1,永和區,19,電梯大樓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,2,1,1,0,1,1,1,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,獨立套房,20000
0,1,板橋區,18.94,電梯大樓,0,0,男女生皆可,面議,1,365,0,0,0,0,0,5,0,0,1,1,0,0,0,學生、上班族、家庭,無,可以,水泥磚牆,0,可以,獨立套房,21780
1,1,板橋區,18.93,電梯大樓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,>=6,1,1,1,1,0,0,1,上班族、家庭,無,不可以,水泥磚牆,1,不可以,獨立套房,25000
