"";"X1";"冰箱";"冷氣";"區";"地址";"坪數";"型態";"天然瓦斯";"床";"性別要求";"押金";"捷運站";"最短租期";"有陽臺";"樓中樓";"開放式格局";"桌子";"椅子";"樓層";"沙發";"洗衣機";"火車站";"熱水器";"第四台";"網路";"編號";"衣櫃";"身份要求";"車 位";"開伙";"隔間材料";"電視";"養寵物";"現況";"總價格";"每坪租金"
"1";773;1;1;"信義區";"台北市信義區吳興街269巷";4;"公寓";1;1;"女生";"一個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6318852;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";6800;1700
"2";2786;1;1;"新莊區";"新北市新莊區瓊泰路133號";4;"公寓";0;1;"女生";"二個月";1;365;1;0;0;1;1;"頂樓加蓋";0;1;1;1;1;1;6369580;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";5500;1375
"3";3000;1;1;"新莊區";"新北市新莊區新莊路649巷26弄20號";4;"公寓";0;1;"男女生皆可";"二個月";1;365;0;0;1;1;1;"頂樓加蓋";0;1;1;1;1;0;6373712;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";4500;1125
"4";4472;1;1;"新莊區";"新北市新莊區新莊路649巷";4;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;0;6398763;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"獨立套房";4500;1125
"5";5375;1;1;"新莊區";"新北市新莊區新莊路649巷";4;"公寓";0;1;"男女生皆可";"二個月";1;365;0;0;1;1;1;"頂樓加蓋";0;1;0;1;1;0;6411125;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";4500;1125
"6";6196;1;1;"蘆洲區";"新北市蘆洲區長安街";4;"電梯大樓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;0;"頂樓加蓋";0;1;0;1;1;0;6423731;1;"0";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";6600;1650
"7";450;1;1;"新莊區";"新北市新莊區八德街135號";5;"公寓";0;1;"男女生皆可";"二個月";1;365;1;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6308754;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7000;1400
"8";692;0;1;"大安區";"台北市大安區和平東路三段632巷70號";5;"公寓";0;1;"男女生皆可";"二個月";1;365;0;0;0;1;1;"頂樓加蓋";0;0;0;1;1;1;6316630;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"獨立套房";7500;1500
"9";1066;1;1;"中和區";"新北市中和區圓通路367巷13弄1號";5;"公寓";0;1;"男女生皆可";"二個月";0;180;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6327521;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"獨立套房";6500;1300
"10";1126;0;1;"中和區";"新北市中和區連城路403巷";5;"公寓";1;1;"男女生皆可";"二個月";0;180;1;0;0;1;1;"頂樓加蓋";0;1;0;1;0;1;6330092;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"可以";"獨立套房";5000;1000
"11";1388;1;1;"板橋區";"新北市板橋區光武街50巷";5;"公寓";1;1;"男女生皆可";"二個月";1;365;0;0;0;1;1;"頂樓加蓋";0;1;1;1;1;1;6337375;1;"上班族";"無";"不可以";"水泥磚牆";0;"不可以";"獨立套房";6000;1200
"12";2232;1;1;"士林區";"台北市士林區士東路54巷";5;"公寓";0;1;"男女生皆可";"面議";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;0;1;0;6357604;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";8000;1600
"13";2500;1;1;"南港區";"台北市南港區研究院路三段86巷";5;"公寓";0;1;"男女生皆可";"二個月";1;365;1;0;0;1;1;"頂樓加蓋";0;1;1;1;1;1;6363540;1;"上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7500;1500
"14";2673;1;1;"板橋區";"新北市板橋區民治街119巷";5;"公寓";0;1;"女生";"二個月";1;365;1;0;0;1;1;"頂樓加蓋";0;1;1;1;1;1;6367261;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";6900;1380
"15";3124;1;1;"三重區";"新北市三重區仁忠街67號";5;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;0;"頂樓加蓋";0;0;0;0;1;1;6376490;1;"0";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7500;1500
"16";3188;1;1;"永和區";"新北市永和區復興街";5;"公寓";0;1;"男女生皆可";"二個月";0;365;0;0;0;1;1;"頂樓加蓋";0;1;0;1;1;1;6377966;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"獨立套房";7000;1400
