@relation yaFang_no_outlier
@attribute X1 numeric
@attribute X冰箱 numeric
@attribute X冷氣 numeric
@attribute X區 numeric
@attribute X地址 numeric
@attribute X坪數 numeric
@attribute X型態 numeric
@attribute X天然瓦斯 numeric
@attribute X床 numeric
@attribute X性別要求 numeric
@attribute X押金 numeric
@attribute X捷運站 numeric
@attribute X最短租期 numeric
@attribute X有陽臺 numeric
@attribute X樓中樓 numeric
@attribute X開放式格局 numeric
@attribute X桌子 numeric
@attribute X椅子 numeric
@attribute X樓層 numeric
@attribute X沙發 numeric
@attribute X洗衣機 numeric
@attribute X火車站 numeric
@attribute X熱水器 numeric
@attribute X第四台 numeric
@attribute X網路 numeric
@attribute X編號 numeric
@attribute X衣櫃 numeric
@attribute X身份要求 numeric
@attribute "X車 位" numeric
@attribute X開伙 numeric
@attribute X隔間材料 numeric
@attribute X電視 numeric
@attribute X養寵物 numeric
@attribute X現況 numeric
@attribute X總價格 numeric
@attribute 每坪租金 numeric
@data
2,1,1,新店區,新北市新店區二十張路129巷,5,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1449895,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300,1060
6,1,1,文山區,台北市文山區興隆路一段,4,公寓,0,1,男生,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,2865628,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500,1125
31,1,1,信義區,台北市信義區富陽街,4,公寓,1,1,男女生皆可,面議,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,5165397,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6500,1625
40,1,1,士林區,台北市士林區延平北路六段258巷,6,公寓,1,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,5504009,1,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,6000,1000
43,1,1,新店區,新北市新店區北新路二段228巷,5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,5551329,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000,1200
48,1,1,大安區,台北市大安區潮州街82巷,4,公寓,1,1,男女生皆可,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,5798841,1,學生、上班族、家庭,無,可以,水泥磚牆,0,不可以,雅房,6500,1625
100,1,1,萬華區,台北市萬華區內江街55巷18號,6,透天厝,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6302529,1,0,無,不可以,其他,1,不可以,雅房,8500,1416.66666666667
109,1,1,士林區,台北市士林區文林路62號,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6303043,1,學生、上班族,無,可以,其他,0,不可以,雅房,6500,1625
111,1,1,內湖區,台北市內湖區內湖路一段285巷,6,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6303361,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000,1000
125,1,1,三重區,新北市三重區忠孝路三段7巷38號,5,公寓,1,1,女生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6306545,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4200,840
126,1,1,三重區,新北市三重區忠孝路三段7巷38號,6,公寓,1,1,女生,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6306546,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4800,800
131,0,1,文山區,台北市文山區辛亥路五段,4,電梯大樓,0,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6307408,0,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5800,1450
141,1,1,板橋區,新北市板橋區雙十路三段70巷12弄8號,4,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6308588,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5500,1375
161,1,1,中山區,台北市中山區濱江街,3.5,透天厝,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6312337,1,學生、上班族,無,可以,其他,0,不可以,雅房,6000,1714.28571428571
169,1,1,文山區,台北市文山區興隆路三段,5,公寓,1,1,男生,二個月,1,365,1,0,0,0,0,頂樓加蓋,0,1,0,1,1,1,6313936,0,學生,無,不可以,輕材料,1,不可以,雅房,5000,1000
203,1,1,三重區,新北市三重區忠孝路三段7巷38號,3,公寓,1,1,女生,一個月,0,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6318957,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,3500,1166.66666666667
229,1,1,板橋區,新北市板橋區四川路二段99巷2弄1號,4,公寓,0,1,男生,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6321983,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5000,1250
230,1,1,板橋區,新北市板橋區僑中二街124巷,4,公寓,1,1,男生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6322060,1,學生,無,不可以,其他,0,不可以,雅房,4000,1000
233,0,1,三重區,新北市三重區正義北路16巷,4,公寓,0,1,男女生皆可,一個月,1,180,0,0,1,0,0,頂樓加蓋,0,1,0,1,1,0,6322392,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6500,1625
238,1,1,文山區,台北市文山區羅斯福路六段276巷,4,公寓,0,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6323015,1,學生,無,不可以,輕材料,0,不可以,雅房,5600,1400
301,1,0,中和區,新北市中和區圓通路305巷,5,公寓,1,1,男女生皆可,面議,0,180,1,0,0,0,0,頂樓加蓋,0,0,0,1,0,1,6329164,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500,900
323,1,1,永和區,新北市永和區永元路18巷,7,電梯大樓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6331611,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5200,742.857142857143
351,1,1,信義區,台北市信義區松仁路206號,5,公寓,0,1,女生,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6334648,1,0,無,不可以,水泥磚牆,0,不可以,雅房,6000,1200
355,1,1,中和區,新北市中和區信義街11巷,3,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6335410,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,4800,1600
357,1,1,中山區,台北市中山區復興北路320巷5號,5,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6335531,1,學生、上班族,無,可以,水泥磚牆,1,可以,雅房,6500,1300
365,1,1,新店區,新北市新店區北新路二段139巷6號,4,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6336368,1,學生、上班族,無,不可以,木板,1,不可以,雅房,4500,1125
369,1,1,土城區,新北市土城區永安街115巷,6,公寓,0,1,男女生皆可,面議,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6336867,1,0,無,不可以,木板,1,不可以,雅房,5500,916.666666666667
407,1,1,永和區,新北市永和區永元路52巷,6,公寓,1,1,女生,一個月,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6340539,1,0,無,可以,水泥磚牆,1,不可以,雅房,7300,1216.66666666667
425,1,1,大安區,台北市大安區潮州街26巷6號,5,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6341574,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,6900,1380
