@RELATION yaFang_6_1_v3

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 {三峽區,三重區,中和區,中山區,中正區,五股區,信義區,內湖區,八里區,北投區,區,南港區,土城區,士林區,大同區,大安區,文山區,新店區,新莊區,松山區,板橋區,林口區,樹林區,永和區,汐止區,泰山區,淡水區,深坑區,萬華區,蘆洲區,貢寮區,鶯歌區}
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 {住宅大樓,公寓,別墅,型態,華廈,透天厝,電梯大樓}
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 {女生,性別要求,男女生皆可,男生}
@ATTRIBUTE attribute_10 {一個月,三個月,二個月,押金,面議}
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 REAL
@ATTRIBUTE attribute_15 REAL
@ATTRIBUTE attribute_16 REAL
@ATTRIBUTE attribute_17 REAL
@ATTRIBUTE attribute_18 {>=6,地下,樓層,頂樓加蓋,1,2,3,4,5}
@ATTRIBUTE attribute_19 REAL
@ATTRIBUTE attribute_20 REAL
@ATTRIBUTE attribute_21 REAL
@ATTRIBUTE attribute_22 REAL
@ATTRIBUTE attribute_23 REAL
@ATTRIBUTE attribute_24 REAL
@ATTRIBUTE attribute_26 REAL
@ATTRIBUTE attribute_27 {上班族,學生,家庭,0,學生、上班族,學生、上班族、家庭,身份要求}
@ATTRIBUTE attribute_28 {平面式停車位，已含租金內,平面式停車位，費用另計,機械式停車位，費用另計,無,車 位}
@ATTRIBUTE attribute_29 {不可以,可以,開伙}
@ATTRIBUTE attribute_30 {其他,木板,水泥+輕隔,水泥磚牆,矽酸鈣板防,稀酸蓋板,複合式建材,輕材料,防火建材,防火輕隔間,隔間材料}
@ATTRIBUTE attribute_31 REAL
@ATTRIBUTE attribute_32 {不可以,可以,養寵物}
@ATTRIBUTE attribute_33 {現況,雅房}
@ATTRIBUTE attribute_34 REAL

@DATA
,冰箱,冷氣,區,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
1,1,1,新店區,5,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300
2,1,1,文山區,4,公寓,0,1,男生,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
3,1,1,信義區,4,公寓,1,1,男女生皆可,面議,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6500
4,1,1,士林區,6,公寓,1,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,1,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,6000
5,1,1,新店區,5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000
6,1,1,大安區,4,公寓,1,1,男女生皆可,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族、家庭,無,可以,水泥磚牆,0,不可以,雅房,6500
7,1,1,萬華區,6,透天厝,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,1,0,無,不可以,其他,1,不可以,雅房,8500
8,1,1,士林區,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1,學生、上班族,無,可以,其他,0,不可以,雅房,6500
9,1,1,內湖區,6,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000
