,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,性別要求,押金,捷運站,最短租期,有陽臺,樓中樓,開放式格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,第四台,網路,編號,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況,總價格
1,1,1,新店區,新北市新店區二十張路129巷,5,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,1449895,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300
2,1,1,文山區,台北市文山區興隆路一段,4,公寓,0,1,男生,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,2865628,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
3,1,1,信義區,台北市信義區富陽街,4,公寓,1,1,男女生皆可,面議,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,5165397,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6500
4,1,1,士林區,台北市士林區延平北路六段258巷,6,公寓,1,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,5504009,1,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,6000
5,1,1,新店區,新北市新店區北新路二段228巷,5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,5551329,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000
6,1,1,大安區,台北市大安區潮州街82巷,4,公寓,1,1,男女生皆可,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,5798841,1,學生、上班族、家庭,無,可以,水泥磚牆,0,不可以,雅房,6500
7,1,1,萬華區,台北市萬華區內江街55巷18號,6,透天厝,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6302529,1,0,無,不可以,其他,1,不可以,雅房,8500
8,1,1,士林區,台北市士林區文林路62號,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6303043,1,學生、上班族,無,可以,其他,0,不可以,雅房,6500
9,1,1,內湖區,台北市內湖區內湖路一段285巷,6,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6303361,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,6000
10,1,1,三重區,新北市三重區忠孝路三段7巷38號,5,公寓,1,1,女生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6306545,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4200
11,1,1,三重區,新北市三重區忠孝路三段7巷38號,6,公寓,1,1,女生,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6306546,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4800
12,0,1,文山區,台北市文山區辛亥路五段,4,電梯大樓,0,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6307408,0,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5800
13,1,1,板橋區,新北市板橋區雙十路三段70巷12弄8號,4,公寓,1,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6308588,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5500
14,1,1,中山區,台北市中山區濱江街,3.5,透天厝,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6312337,1,學生、上班族,無,可以,其他,0,不可以,雅房,6000
15,1,1,文山區,台北市文山區興隆路三段,5,公寓,1,1,男生,二個月,1,365,1,0,0,0,0,頂樓加蓋,0,1,0,1,1,1,6313936,0,學生,無,不可以,輕材料,1,不可以,雅房,5000
16,1,1,三重區,新北市三重區忠孝路三段7巷38號,3,公寓,1,1,女生,一個月,0,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6318957,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,3500
17,1,1,板橋區,新北市板橋區四川路二段99巷2弄1號,4,公寓,0,1,男生,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6321983,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5000
18,1,1,板橋區,新北市板橋區僑中二街124巷,4,公寓,1,1,男生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6322060,1,學生,無,不可以,其他,0,不可以,雅房,4000
19,0,1,三重區,新北市三重區正義北路16巷,4,公寓,0,1,男女生皆可,一個月,1,180,0,0,1,0,0,頂樓加蓋,0,1,0,1,1,0,6322392,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6500
20,1,1,文山區,台北市文山區羅斯福路六段276巷,4,公寓,0,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6323015,1,學生,無,不可以,輕材料,0,不可以,雅房,5600
21,1,0,中和區,新北市中和區圓通路305巷,5,公寓,1,1,男女生皆可,面議,0,180,1,0,0,0,0,頂樓加蓋,0,0,0,1,0,1,6329164,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
22,1,1,永和區,新北市永和區永元路18巷,7,電梯大樓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6331611,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5200
23,1,1,信義區,台北市信義區松仁路206號,5,公寓,0,1,女生,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6334648,1,0,無,不可以,水泥磚牆,0,不可以,雅房,6000
24,1,1,中和區,新北市中和區信義街11巷,3,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6335410,1,學生、上班族,無,可以,水泥磚牆,0,不可以,雅房,4800
25,1,1,中山區,台北市中山區復興北路320巷5號,5,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6335531,1,學生、上班族,無,可以,水泥磚牆,1,可以,雅房,6500
26,1,1,新店區,新北市新店區北新路二段139巷6號,4,公寓,0,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6336368,1,學生、上班族,無,不可以,木板,1,不可以,雅房,4500
27,1,1,土城區,新北市土城區永安街115巷,6,公寓,0,1,男女生皆可,面議,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6336867,1,0,無,不可以,木板,1,不可以,雅房,5500
28,1,1,永和區,新北市永和區永元路52巷,6,公寓,1,1,女生,一個月,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6340539,1,0,無,可以,水泥磚牆,1,不可以,雅房,7300
29,1,1,大安區,台北市大安區潮州街26巷6號,5,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6341574,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,6900
30,1,1,大同區,台北市大同區天水路51巷18號,5,公寓,0,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6348139,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,9500
31,1,1,新店區,新北市新店區中正路550巷2號,4,公寓,1,1,男女生皆可,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6351559,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6200
32,0,1,蘆洲區,新北市蘆洲區長榮路,7,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6354053,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500
33,1,1,中正區,台北市中正區林森南路99巷,5,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6356278,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6500
34,1,1,北投區,台北市北投區吉利街,5,公寓,0,1,男女生皆可,一個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6358489,1,0,無,不可以,水泥磚牆,0,不可以,雅房,7000
35,0,1,大安區,台北市大安區和平東路二段118巷,3,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,6363144,1,學生、上班族,無,可以,輕材料,0,不可以,雅房,6000
36,1,1,松山區,台北市松山區民權東路三段103巷14號,5,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6364047,1,上班族,無,可以,其他,1,不可以,雅房,6000
37,1,1,北投區,台北市北投區公館路63巷,5,公寓,1,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6366847,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6000
38,1,1,信義區,台北市信義區吳興街284巷22弄22號,2.5,公寓,0,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6366988,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4800
39,1,1,松山區,台北市松山區民生東路三段130巷,4,公寓,1,1,男女生皆可,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,0,6367024,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4350
40,1,1,大安區,台北市大安區泰順街50巷,5,公寓,1,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6371503,1,學生、上班族,無,可以,其他,0,不可以,雅房,7400
41,1,0,新店區,新北市新店區三民路,5,公寓,0,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6372206,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5000
42,1,1,中山區,台北市中山區民權東路一段70巷,8,公寓,1,1,女生,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,0,6372838,1,學生、上班族,無,不可以,木板,1,不可以,雅房,8500
43,1,1,板橋區,新北市板橋區德興街28巷15號,5,公寓,0,1,女生,二個月,1,180,0,0,1,1,1,頂樓加蓋,0,1,1,1,0,1,6373071,0,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,4200
44,1,1,士林區,台北市士林區中山北路六段290巷,6,公寓,0,1,男生,二個月,1,180,0,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6373469,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6500
45,1,1,文山區,台北市文山區溪口街107巷4弄1號,6,公寓,1,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6375163,1,學生、上班族,無,不可以,水泥磚牆,0,可以,雅房,6000
46,1,1,南港區,台北市南港區重陽路,5,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6378396,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,6000
47,1,1,士林區,台北市士林區前港街58巷,3.5,公寓,0,1,女生,二個月,1,365,0,0,1,1,1,頂樓加蓋,0,1,0,1,1,1,6378402,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5500
48,1,1,板橋區,新北市板橋區雙十路三段10巷,3.5,公寓,0,1,男生,二個月,0,180,0,0,0,1,1,頂樓加蓋,0,1,0,0,1,1,6379062,1,0,無,不可以,水泥磚牆,1,不可以,雅房,4500
49,1,1,南港區,台北市南港區成福路,4.5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,1,0,1,1,6380542,1,學生、上班族,無,可以,輕材料,1,不可以,雅房,5500
50,0,1,南港區,台北市南港區南港路三段190巷9弄12號,5,公寓,1,1,男女生皆可,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6383047,1,學生、上班族、家庭,無,可以,水泥磚牆,0,可以,雅房,5000
51,1,1,內湖區,台北市內湖區麗山街68巷,4,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6384561,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5800
52,1,0,三重區,新北市三重區仁忠街,5,公寓,0,1,男女生皆可,二個月,0,365,0,0,0,1,1,頂樓加蓋,0,0,0,0,1,0,6384582,1,0,無,不可以,水泥磚牆,1,不可以,雅房,6000
53,1,1,信義區,台北市信義區基隆路一段147巷,7,公寓,0,1,男女生皆可,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6384662,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,8000
54,1,1,松山區,台北市松山區延壽街,5,公寓,1,1,男女生皆可,面議,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,1,1,6385030,1,學生、上班族、家庭,無,可以,水泥磚牆,1,可以,雅房,9000
55,1,0,信義區,台北市信義區松信路,3,公寓,0,1,男生,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,0,1,1,0,0,6386240,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5500
56,1,0,新店區,新北市新店區自立街,5,公寓,1,0,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6386417,0,上班族,無,可以,水泥磚牆,0,不可以,雅房,4000
57,1,1,中正區,台北市中正區忠孝東路二段,4,公寓,1,1,女生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6387162,1,學生、上班族,無,不可以,防火輕隔間,1,不可以,雅房,8500
58,1,1,內湖區,台北市內湖區康樂街136巷,6,公寓,1,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6387479,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5000
59,1,1,三重區,新北市三重區自強路三段76巷,9,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,0,0,頂樓加蓋,0,1,0,1,0,0,6388496,1,0,無,不可以,水泥磚牆,0,不可以,雅房,9000
60,1,1,北投區,台北市北投區大度路三段301巷,6,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6388636,1,學生、上班族、家庭,無,可以,水泥磚牆,1,不可以,雅房,5500
61,1,0,中正區,台北市中正區永春街212巷7號,7,透天厝,0,1,女生,面議,0,365,1,0,0,0,0,頂樓加蓋,0,1,0,0,1,0,6391948,0,0,無,不可以,水泥磚牆,0,不可以,雅房,5500
62,1,1,文山區,台北市文山區光輝路47巷,3,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6392873,1,學生、上班族,無,可以,水泥磚牆,1,不可以,雅房,6000
63,1,1,松山區,台北市松山區南京東路五段250巷36弄4號,5,公寓,1,1,男女生皆可,面議,0,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,1,6393190,0,0,無,不可以,木板,0,不可以,雅房,10000
64,0,1,松山區,台北市松山區寧安街6號,4,公寓,0,1,男女生皆可,二個月,1,365,0,0,0,0,0,頂樓加蓋,0,1,1,1,0,0,6396485,1,學生、上班族、家庭,無,不可以,木板,0,不可以,雅房,5800
65,1,1,深坑區,新北市深坑區北深路二段81巷8弄19號,6,公寓,1,1,男女生皆可,一個月,0,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6396796,1,0,無,可以,其他,1,不可以,雅房,4000
66,1,1,板橋區,新北市板橋區陽明街72號,5,公寓,0,1,女生,一個月,1,365,0,0,0,1,1,頂樓加蓋,0,0,0,0,0,1,6401389,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4000
67,0,1,板橋區,新北市板橋區東門街,6,公寓,1,1,男生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6403635,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,5800
68,1,1,松山區,台北市松山區光復北路161巷,4.5,公寓,0,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,0,1,6404759,1,學生、上班族,無,不可以,其他,0,不可以,雅房,5800
69,1,1,士林區,台北市士林區文林路62號,5.5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6405624,1,學生、上班族,無,可以,其他,0,不可以,雅房,7000
70,1,1,內湖區,台北市內湖區內湖路一段613號,4,公寓,0,1,男女生皆可,二個月,0,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6406659,1,0,無,不可以,輕材料,1,不可以,雅房,6200
71,1,1,大安區,台北市大安區羅斯福路二段101巷,5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6412153,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,9000
72,1,1,文山區,台北市文山區景華街128巷,4,公寓,1,1,男生,二個月,0,365,0,0,0,1,0,頂樓加蓋,0,1,0,1,1,1,6413730,1,學生、上班族,無,不可以,輕材料,0,不可以,雅房,5300
73,1,1,三重區,新北市三重區忠孝路三段7巷38號,8,公寓,1,1,女生,一個月,0,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6414713,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,4800
74,1,1,板橋區,新北市板橋區自由路26巷,4.5,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,1,1,1,1,6415858,1,學生、上班族,無,不可以,輕材料,1,不可以,雅房,4500
75,0,1,大安區,台北市大安區瑞安街244巷,5,公寓,1,1,男女生皆可,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6416381,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,6000
76,0,1,信義區,台北市信義區忠孝東路五段790巷,4,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,1,1,6418264,1,學生、上班族、家庭,無,不可以,水泥磚牆,0,不可以,雅房,5500
77,1,1,大安區,台北市大安區泰順街40巷27號,2.5,公寓,0,1,男生,一個月,1,90,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6419292,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,5200
78,0,1,大安區,台北市大安區和平東路二段118巷,3,公寓,0,1,男女生皆可,二個月,1,365,1,0,0,1,1,頂樓加蓋,1,1,0,1,0,0,6421693,1,學生、上班族,無,可以,輕材料,0,不可以,雅房,6500
79,1,1,新店區,新北市新店區二十張路129巷,4.5,公寓,1,1,女生,一個月,1,180,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6424138,1,學生、上班族,無,不可以,水泥磚牆,1,不可以,雅房,5300
80,1,1,北投區,台北市北投區石牌路一段39巷,3,公寓,0,1,女生,二個月,1,365,0,0,0,1,1,頂樓加蓋,0,1,0,1,0,0,6424225,1,學生、上班族,無,不可以,水泥磚牆,0,不可以,雅房,4500
81,1,1,中山區,台北市中山區松江路132巷17號,4,公寓,1,1,男生,二個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,0,1,0,1,6425307,1,學生,無,不可以,輕材料,0,不可以,雅房,4800
82,0,1,松山區,台北市松山區南京東路三段256巷,9,公寓,0,1,女生,一個月,1,365,1,0,0,1,1,頂樓加蓋,0,1,1,1,0,0,6425920,1,學生、上班族,無,不可以,輕材料,0,不可以,雅房,7800
83,1,0,新店區,新北市新店區新店路27號,8,公寓,1,1,男女生皆可,二個月,0,365,0,0,0,1,1,地下,1,1,0,1,1,1,6324231,1,0,無,可以,其他,1,不可以,雅房,6500
