"";"冰箱";"冷氣";"區";"地址";"坪數";"型態";"天然瓦斯";"床";"性別要求";"押金";"捷運站";"最短租期";"格局";"桌子";"椅子";"樓層";"沙發";"洗衣機";"火車站";"熱水器";"第四台";"網路";"編號";"衣櫃";"身份要求";"車 位";"開伙";"隔間材料";"電視";"養寵物";"現況";"總價格"
"1";1;0;"松山區";"台北市松山區撫遠街394巷75號";5,5;"公寓";1;1;"女生";"一個月";0;"一年";"有陽臺";0;0;"3";1;1;0;1;0;1;1018338;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7800
"2";1;1;"新店區";"新北市新店區二十張路129巷";5;"公寓";1;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;0;1;0;1;1449895;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5300
"3";1;1;"內湖區";"台北市內湖區內湖路一段";7;"電梯大樓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"6";0;1;0;1;1;1;1671023;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";8800
"4";1;1;"大安區";"台北市大安區復興南路一段295巷";10;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"2";1;1;0;1;1;1;2658452;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";11000
"5";1;1;"士林區";"台北市士林區社子街63巷";4;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"3";1;1;0;1;0;1;2840404;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"雅房";6500
"6";1;1;"文山區";"台北市文山區興隆路一段";4;"公寓";0;1;"男生";"一個月";1;"一年";"0";1;1;"頂樓加蓋";0;1;0;1;1;1;2865628;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";4500
"7";1;1;"內湖區";"台北市內湖區內湖路一段91巷";7;"公寓";1;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"5";1;1;0;1;1;1;2889556;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7500
"8";0;0;"林口區";"新北市林口區中正路154號";5;"公寓";1;1;"男女生皆可";"一個月";1;"2月";"0";1;1;"5";0;1;1;0;0;1;2978443;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5000
"9";1;1;"淡水區";"新北市淡水區自強路124巷";8;"透天厝";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"5";0;1;0;1;0;0;3133438;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5500
"10";1;1;"內湖區";"台北市內湖區成功路三段187巷";7;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"3";0;1;0;1;0;1;3406259;1;"學生、上班族、家庭";"無";"不可以";"0";1;"不可以";"雅房";8000
"11";0;1;"中和區";"新北市中和區新生街16巷";7;"公寓";0;1;"女生";"面議";0;"一年";"有陽臺";1;1;"6";0;0;0;0;1;0;3481492;1;"學生、上班族、家庭";"無";"不可以";"木板";1;"不可以";"雅房";4000
"12";0;0;"士林區";"台北市士林區格致路48號";4;"公寓";0;1;"男女生皆可";"面議";0;"一年";"0";1;1;"2";0;1;0;0;0;1;3518006;1;"0";"無";"不可以";"0";0;"不可以";"雅房";9000
"13";1;1;"文山區";"台北市文山區木新路二段";6;"公寓";1;1;"男生";"二個月";0;"一年";"有陽臺";1;1;"4";0;1;0;1;1;1;3610751;0;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"14";1;1;"板橋區";"新北市板橋區館前東路";5,5;"公寓";0;1;"女生";"二個月";1;"一年";"0";1;1;"4";1;1;1;1;0;1;3695776;1;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";6600
"15";0;1;"信義區";"台北市信義區永吉路30巷151弄12號";20;"公寓";1;1;"女生";"二個月";0;"一年";"0";1;1;"5";0;1;0;1;1;0;3829792;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5500
"16";1;1;"士林區";"台北市士林區前街";3;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"2";1;1;0;1;0;1;4025093;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";4500
"17";1;1;"信義區";"台北市信義區吳興街284巷59弄8號";8;"電梯大樓";1;1;"女生";"二個月";0;"一年";"0";1;1;"11";0;1;0;1;0;1;4157386;1;"0";"無";"可以";"水泥磚牆";0;"不可以";"雅房";14800
"18";1;1;"北投區";"台北市北投區尊賢街";3;"公寓";1;1;"男女生皆可";"二個月";1;"三個月";"有陽臺";1;1;"4";0;1;0;1;1;1;4180882;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5500
"19";1;1;"板橋區";"新北市板橋區大觀路二段3巷47號";4;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";0;0;"4";0;1;1;1;0;0;4351574;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"雅房";3000
"20";1;1;"板橋區";"新北市板橋區公園街";5;"公寓";0;1;"男生";"二個月";1;"一年";"0";1;1;"4";0;1;1;1;0;1;4362702;1;"學生、上班族";"無";"可以";"輕材料";0;"不可以";"雅房";5600
"21";0;1;"松山區";"台北市松山區光復南路33巷31-4號";5;"公寓";1;1;"男生";"二個月";1;"一年";"0";1;1;"4";0;1;1;1;1;0;4475679;1;"學生、上班族、家庭";"無";"不可以";"木板";1;"不可以";"雅房";6500
"22";1;1;"南港區";"台北市南港區福德街309巷27號";5;"公寓";1;1;"女生";"二個月";1;"一年";"0";1;1;"4";0;1;0;1;1;0;4683447;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"23";1;1;"北投區";"台北市北投區承德路七段106巷";8;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"有陽臺";1;1;"2";1;1;0;1;1;1;4845736;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"雅房";7000
"24";0;1;"士林區";"台北市士林區明德路";6;"公寓";0;1;"女生";"二個月";1;"一年";"0";1;1;"3";0;1;0;1;1;1;4929839;1;"學生、上班族";"無";"不可以";"木板";1;"不可以";"雅房";5500
"25";1;1;"汐止區";"新北市汐止區福德一路176巷";8;"透天厝";0;1;"男女生皆可";"二個月";0;"一年";"有陽臺";1;1;"1";0;1;0;1;1;0;5011658;1;"0";"無";"不可以";"0";0;"不可以";"雅房";6000
"26";1;1;"文山區";"台北市文山區新光路一段134號";6;"公寓";0;1;"女生";"一個月";0;"一年";"有陽臺";1;1;"4";0;1;0;1;0;1;5032130;1;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";6000
"27";1;1;"士林區";"台北市士林區天母東路69巷12弄15號";5;"公寓";0;1;"女生";"二個月";0;"一年";"有陽臺";1;1;"4";0;1;0;1;0;1;5105921;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";9000
"28";1;1;"信義區";"台北市信義區莊敬路";8;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"5";1;1;0;1;1;1;5115955;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7500
"29";1;1;"大安區";"台北市大安區安東街35巷";7;"電梯大樓";0;1;"男女生皆可";"二個月";1;"半年";"有陽臺";1;1;"2";0;1;0;1;0;1;5127634;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6998
"30";1;1;"南港區";"台北市南港區興南街";5;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"2";0;1;1;1;1;1;5162450;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";6500
"31";1;1;"信義區";"台北市信義區富陽街";4;"公寓";1;1;"男女生皆可";"面議";1;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;0;1;0;1;5165397;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6500
"32";1;1;"林口區";"新北市林口區文化三路";5;"電梯大樓";1;1;"男女生皆可";"二個月";1;"半年";"0";1;1;"11";1;1;0;1;1;1;5192003;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";5500
"33";1;1;"信義區";"台北市信義區吳興街220巷";5;"公寓";1;1;"女生";"一個月";1;"一年";"0";1;1;"5";0;1;0;1;0;1;5195220;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5500
"34";1;1;"新店區";"新北市新店區安康路二段85巷10號";7;"公寓";1;1;"男女生皆可";"一個月";0;"一年";"0";1;1;"1";0;1;0;1;1;1;5216501;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"雅房";7000
"35";1;1;"中和區";"新北市中和區忠孝街19巷";4;"電梯大樓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;0;"4";1;1;0;1;1;0;5232710;1;"0";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";6500
"36";1;1;"大安區";"台北市大安區復興南路90號";6;"電梯大樓";1;1;"女生";"二個月";0;"一年";"有陽臺";1;1;"9";0;1;0;0;1;1;5282091;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";9000
"37";0;1;"松山區";"台北市松山區民權東路三段106巷";3;"電梯大樓";0;1;"男女生皆可";"一個月";1;"一年";"0";1;1;"B1";0;1;0;1;0;1;5345785;0;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";4800
"38";1;1;"文山區";"台北市文山區景中街30巷";11;"電梯大樓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"7";1;1;0;1;1;1;5371342;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"可以";"雅房";14000
"39";1;1;"文山區";"台北市文山區木新路二段161巷6弄1號";5;"公寓";1;1;"男生";"二個月";0;"一年";"有陽臺";1;1;"6";1;1;0;1;0;1;5402698;1;"學生、上班族";"無";"可以";"輕材料";1;"不可以";"雅房";5500
"40";1;1;"士林區";"台北市士林區延平北路六段258巷";6;"公寓";1;1;"女生";"二個月";0;"一年";"有陽臺";1;1;"頂樓加蓋";0;1;0;1;0;0;5504009;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"可以";"雅房";6000
"41";1;0;"士林區";"台北市士林區仰德大道四段32巷9號";3;"透天厝";0;1;"男女生皆可";"面議";0;"一年";"0";1;1;"2";0;1;0;1;0;1;5516900;1;"學生";"平面式停車位，已含租金內";"可以";"水泥磚牆";0;"不可以";"雅房";4000
"42";1;1;"大同區";"台北市大同區承德路三段208巷9號";3;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"2";0;1;0;1;0;1;5525270;1;"學生、上班族";"無";"可以";"其他";0;"可以";"雅房";7000
"43";1;1;"新店區";"新北市新店區北新路二段228巷";5;"公寓";0;1;"女生";"二個月";1;"一年";"0";1;1;"頂樓加蓋";0;1;0;1;1;1;5551329;1;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";6000
"44";1;0;"北投區";"台北市北投區中央北路四段583巷";5;"透天厝";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"5";0;1;0;1;0;0;5560170;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5500
"45";1;1;"文山區";"台北市文山區木新路三段310巷";8;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"5";0;1;0;1;0;0;5608175;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"46";1;1;"信義區";"台北市信義區永吉路";5;"公寓";1;1;"男生";"二個月";1;"三個月";"有陽臺";1;1;"5";1;1;1;1;1;1;5737799;1;"學生、上班族";"平面式停車位，費用另計";"可以";"水泥磚牆";1;"不可以";"雅房";8500
"47";1;0;"士林區";"台北市士林區中正路212巷";5;"公寓";1;1;"女生";"面議";1;"一年";"0";1;1;"2";0;1;0;1;0;0;5772694;0;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";7000
"48";1;1;"大安區";"台北市大安區潮州街82巷";4;"公寓";1;1;"男女生皆可";"一個月";1;"三個月";"0";1;1;"頂樓加蓋";0;1;0;1;0;1;5798841;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";0;"不可以";"雅房";6500
"49";1;1;"內湖區";"台北市內湖區金湖路11號";5;"公寓";1;1;"女生";"二個月";0;"一年";"有陽臺";1;1;"5";0;1;0;1;1;1;5810081;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"不可以";"雅房";6500
"50";1;1;"松山區";"台北市松山區民權東路五段33號";5;"公寓";1;1;"女生";"二個月";0;"一年";"有陽臺";1;1;"3";0;1;0;1;1;1;5853683;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7500
"51";0;1;"松山區";"台北市松山區八德路四段72巷10弄3-2號";3;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"有陽臺";1;1;"3";0;0;1;1;0;0;5862901;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"52";1;1;"永和區";"新北市永和區竹林路91巷43弄3號";5;"公寓";1;1;"女生";"二個月";1;"一年";"0";1;1;"5";1;1;0;1;1;1;5872345;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"不可以";"雅房";7500
"53";1;1;"士林區";"台北市士林區社中街11號";6;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"3";0;1;0;0;0;0;5965649;1;"學生、上班族、家庭";"無";"不可以";"0";1;"不可以";"雅房";6000
"54";1;1;"北投區";"台北市北投區建民路";3,5;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"3";0;1;0;1;0;1;6001424;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5500
"55";1;1;"中山區";"台北市中山區龍江路281號";5;"公寓";1;1;"男女生皆可";"面議";1;"半年";"0";1;1;"2";0;1;0;1;0;1;6034742;1;"學生、上班族、家庭";"無";"可以";"輕材料";0;"不可以";"雅房";8000
"56";1;0;"中和區";"新北市中和區中興街208號";4;"電梯大樓";1;1;"女生";"面議";1;"三個月";"有陽臺";1;1;"2";1;1;0;1;1;1;6045045;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5500
"57";1;1;"北投區";"台北市北投區致遠三路50巷8號";3;"透天厝";0;1;"男女生皆可";"一個月";0;"一年";"0";1;1;"1";0;1;0;1;0;1;6046992;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"58";1;1;"中正區";"台北市中正區林森北路5巷";6,5;"電梯大樓";1;1;"女生";"一個月";1;"一年";"有陽臺";1;1;"5";1;1;1;1;0;1;6064381;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";14000
"59";1;1;"板橋區";"新北市板橋區五權街30巷";3,5;"公寓";0;1;"男女生皆可";"一個月";1;"半年";"0";1;1;"4";0;1;0;1;1;1;6074035;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5000
"60";1;1;"板橋區";"新北市板橋區縣民大道三段60巷";3;"公寓";0;1;"女生";"一個月";1;"半年";"有陽臺";1;1;"5";1;1;1;1;0;0;6085915;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";3300
"61";1;1;"萬華區";"台北市萬華區貴陽街二段96巷30號";6;"公寓";1;1;"女生";"二個月";1;"半年";"0";1;1;"5";0;1;0;1;1;0;6100043;1;"學生、上班族";"無";"可以";"木板";1;"不可以";"雅房";7500
"62";1;1;"文山區";"台北市文山區辛亥路七段5巷4弄10號";4;"公寓";0;1;"男生";"面議";1;"一年";"0";1;1;"4";0;1;0;1;0;1;6139839;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5800
"63";1;1;"中正區";"台北市中正區重慶南路三段";6;"公寓";1;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"5";0;1;0;0;0;1;6208714;1;"學生、上班族";"無";"不可以";"木板";1;"不可以";"雅房";5500
"64";1;1;"中山區";"台北市中山區八德路二段";8;"公寓";1;1;"男女生皆可";"二個月";1;"半年";"有陽臺";1;1;"2";0;1;0;1;0;1;6212195;1;"學生、上班族";"無";"可以";"輕材料";0;"不可以";"雅房";7998
"65";1;1;"中山區";"台北市中山區八德路二段";4;"公寓";1;1;"男女生皆可";"面議";1;"半年";"有陽臺";1;1;"2";0;1;0;1;0;1;6212205;1;"學生、上班族";"無";"可以";"輕材料";0;"不可以";"雅房";5998
"66";1;1;"內湖區";"台北市內湖區行善路25巷1弄4號";4;"電梯大樓";1;1;"男女生皆可";"二個月";1;"三個月";"有陽臺";1;1;"4";0;1;0;1;0;0;6215146;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";1;"可以";"雅房";8000
"67";1;1;"中和區";"新北市中和區華新街109巷";5;"電梯大樓";1;1;"男女生皆可";"二個月";0;"半年";"0";1;1;"4";0;1;0;1;1;1;6218749;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5500
"68";1;1;"中山區";"台北市中山區新生北路三段84巷";6;"公寓";0;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"5";0;1;0;0;1;1;6219905;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";7000
"69";1;1;"信義區";"台北市信義區永吉路185號";5;"電梯大樓";0;1;"女生";"二個月";1;"一年";"0";1;1;"5";0;1;1;1;1;1;6223771;1;"學生、上班族、家庭";"無";"不可以";"輕材料";1;"不可以";"雅房";6000
"70";1;1;"松山區";"台北市松山區光復南路57巷";4;"公寓";1;1;"女生";"二個月";1;"半年";"0";1;1;"4";0;1;0;1;0;1;6223779;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5000
"71";0;0;"林口區";"新北市林口區竹林路330巷";5;"透天厝";0;1;"男女生皆可";"二個月";0;"一年";"0";0;0;"4";0;1;0;1;1;1;6224402;1;"學生、上班族、家庭";"無";"不可以";"輕材料";0;"不可以";"雅房";5500
"72";1;1;"泰山區";"新北市泰山區中華街14巷";5;"公寓";0;1;"男生";"二個月";1;"一年";"有陽臺";1;1;"3";0;1;0;1;1;1;6235366;1;"學生、上班族";"無";"可以";"水泥磚牆";1;"可以";"雅房";5500
"73";1;1;"文山區";"台北市文山區木柵路一段";3;"公寓";0;1;"女生";"一個月";1;"一年";"0";1;1;"4";0;1;0;1;0;1;6235748;1;"學生";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";5500
"74";1;1;"松山區";"台北市松山區南京東路五段23巷";4,5;"公寓";1;1;"女生";"二個月";1;"一年";"有陽臺";1;1;"3";0;1;0;1;1;1;6238071;1;"學生、上班族";"無";"可以";"水泥磚牆";0;"不可以";"雅房";9000
"75";1;1;"中山區";"台北市中山區農安街";5;"公寓";1;1;"男女生皆可";"面議";1;"一年";"有陽臺";1;1;"4";0;1;0;1;1;0;6238353;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";7000
"76";1;1;"新店區";"新北市新店區大學街25巷";4;"別墅";1;1;"女生";"一個月";0;"一年";"0";1;1;"2";0;1;0;1;1;1;6244574;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";5800
"77";1;1;"大安區";"台北市大安區信義路二段10巷";4,2;"公寓";1;1;"女生";"二個月";1;"一年";"0";1;1;"1";1;1;1;1;0;1;6250193;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6600
"78";0;1;"信義區";"台北市信義區忠孝東路五段423巷";7;"公寓";1;1;"男女生皆可";"面議";0;"30天";"0";1;1;"1";0;0;0;1;0;1;6254453;1;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";7500
"79";0;1;"深坑區";"新北市深坑區北深路三段107巷";6;"透天厝";0;1;"男女生皆可";"二個月";0;"半年";"有陽臺";1;1;"2";0;1;0;1;1;1;6254704;1;"學生、上班族";"平面式停車位，費用另計";"不可以";"水泥磚牆";0;"不可以";"雅房";4000
"80";1;1;"內湖區";"台北市內湖區東湖路7巷27號";5;"透天厝";1;1;"男女生皆可";"二個月";1;"1月";"0";1;1;"2";0;1;0;1;1;1;6256458;1;"學生、上班族、家庭";"無";"可以";"水泥磚牆";0;"不可以";"雅房";8700
"81";1;1;"松山區";"台北市松山區八德路三段12巷";5;"公寓";1;1;"女生";"二個月";1;"半年";"0";1;1;"3";1;1;0;1;1;1;6258394;0;"學生、上班族";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6800
"82";1;1;"大安區";"台北市大安區樂利路5巷";6;"電梯大樓";0;1;"男女生皆可";"二個月";1;"半年";"0";1;1;"3";1;1;0;1;0;1;6261732;1;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";4998
"83";0;1;"士林區";"台北市士林區中正路335巷";5;"公寓";0;1;"男女生皆可";"二個月";1;"一年";"0";1;1;"4";0;1;0;1;0;1;6266461;0;"學生、上班族、家庭";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";6000
"84";1;1;"大安區";"台北市大安區安和路一段141巷";5,24;"公寓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"5";0;1;0;1;0;1;6267931;1;"0";"無";"可以";"水泥磚牆";0;"不可以";"雅房";11000
"85";1;1;"文山區";"台北市文山區光輝路138號";6;"公寓";1;1;"女生";"面議";1;"一年";"0";1;1;"3";0;1;1;1;1;1;6272784;1;"學生、上班族";"無";"不可以";"水泥磚牆";1;"不可以";"雅房";6000
"86";0;0;"中正區";"台北市中正區中華路一段91巷11號";3;"透天厝";0;0;"男女生皆可";"一個月";1;"一年";"0";1;0;"2";0;0;0;1;0;1;6275338;1;"學生、上班族";"無";"不可以";"木板";0;"不可以";"雅房";4800
"87";1;1;"士林區";"台北市士林區忠誠路一段";6;"電梯大樓";1;1;"男女生皆可";"二個月";0;"一年";"0";1;1;"3";1;1;0;1;0;1;6277619;1;"0";"無";"不可以";"水泥磚牆";0;"不可以";"雅房";8000
