,價格,冰箱,冷氣,區,地址,坪數,型態,天然瓦斯,床,座標,性別要求,押金,捷運站,最短租期,朝向,格局,桌子,椅子,樓層,沙發,洗衣機,火車站,熱水器,產權登記,種類,第四台,管理費,網路,編號,總樓層數,衣櫃,身份要求,車 位,開伙,隔間材料,電視,養寵物,現況
0,15000,1,1,信義區,台北市信義區中坡南路201巷6-1號,9.5,電梯大樓,0,1,0,女生,二個月,1,一年,坐東南朝西北,有陽臺,1,1,6,1,1,1,1,已辦 ,0,1,0,1,6224675,7,1,上班族,無,不可以,0,1,不可以,獨立套房
1,15000,1,1,大安區,台北市大安區大安路一段31巷,13,公寓,0,1,0,男女生皆可,二個月,1,一年,坐南朝北,0,1,1,5,0,1,0,1,未辦 ,0,1,0,1,6398148,5,1,上班族,無,不可以,0,1,不可以,獨立套房
2,15000,1,1,文山區,台北市文山區興隆路三段304巷32號,10,電梯大樓,0,1,0,男女生皆可,二個月,1,一年,0,0,1,1,1,1,1,0,0,已辦 ,0,1,0,1,6398894,7,1,學生、上班族、家庭,無,不可以,0,1,不可以,獨立套房
3,36000,1,1,大安區,台北市大安區信義路三段,14,電梯大樓,0,1,0,男女生皆可,二個月,1,1月,坐南朝北,0,1,1,12,1,1,0,1,已辦 ,0,1,975,1,6315218,12,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
4,56000,1,1,信義區,台北市信義區松勤路,19.71,電梯大樓,0,1,0,男女生皆可,二個月,1,三個月,坐北朝南,開放式格局,1,1,16,1,1,0,1,已辦 ,0,0,2927,0,6328407,19,1,學生、上班族、家庭,機械式停車位，費用另計,可以,0,1,不可以,獨立套房
5,8500,1,1,大安區,台北市大安區通化街39巷53弄21號,5.5,透天厝,0,0,0,女生,二個月,1,一年,0,0,1,0,4,0,1,0,1,已辦 ,0,1,0,1,6376629,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
6,23000,1,1,大安區,台北市大安區泰順街40巷,13,公寓,1,1,0,男女生皆可,二個月,1,三個月,坐南朝北,有陽臺,1,1,5,1,1,1,1,已辦 ,0,1,0,1,5495921,5,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
7,18000,1,1,中正區,台北市中正區和平西路一段122號,12,透天厝,1,1,0,男女生皆可,二個月,1,一年,坐南朝北,有陽臺,1,1,頂樓加蓋,1,1,1,1,未辦 ,0,1,0,1,6323075,7,1,學生、上班族、家庭,無,可以,0,1,不可以,獨立套房
8,12000,1,1,內湖區,台北市內湖區內湖路三段,10,公寓,0,0,0,男女生皆可,二個月,1,一年,0,開放式格局,1,1,5,1,1,0,1,已辦 ,0,1,0,1,6364032,5,1,0,無,不可以,0,1,不可以,獨立套房
9,8500,1,1,大同區,台北市大同區延平北路二段,5,公寓,0,1,0,女生,二個月,1,1年,坐西朝東,0,1,1,2,0,1,0,1,已辦 ,0,1,0,1,6403676,4,1,學生、上班族,無,不可以,0,1,不可以,獨立套房
10,29900,1,1,萬華區,台北市萬華區開封街二段63號,15,透天厝,0,1,0,男女生皆可,二個月,1,三個月,0,開放式格局,1,1,3,0,0,1,1,未辦 ,0,1,0,1,6352092,5,1,學生、上班族、家庭,無,可以,0,1,可以,獨立套房
